Time,Average Weekly Earnings,Survey Size
jan00,15.529312288613303,1774.0
feb00,14.346636259977195,1754.0
mar00,20.899374644684478,1759.0
apr00,29.547592385218366,1786.0
may00,14.615926327193932,1846.0
jun00,11.099208443271769,1895.0
jul00,23.572616407982263,1804.0
aug00,23.577114427860696,1809.0
sep00,25.032924107142858,1792.0
oct00,13.10862262038074,1786.0
nov00,22.319616685456594,1774.0
dec00,23.519371139809095,1781.0
