Time,AIAN Average Age,AIAN Agricultural Proportion,AIAN Mining Proportion,AIAN Construction Proportion,AIAN Manufacturing Proportion,AIAN Retail Proportion,AIAN Transportation Proportion,AIAN Information Proportion,AIAN Financial Services Proportion,AIAN Business Proportion,AIAN Education and Health Proportion,AIAN Hospitality Proportion,AIAN Other Proportion,AIAN Public Administration Proportion,AIAN Military Proportion,AIAN Num Male Respondents,AIAN Num Female Respondents,AIAN Male Proportion,AIAN Female Proportion,AIAN Survey Size,National Average Age,National Agricultural Proportion,National Mining Proportion,National Construction Proportion,National Manufacturing Proportion,National Retail Proportion,National Transportation Proportion,National Information Proportion,National Financial Services Proportion,National Business Proportion,National Education and Health Proportion,National Hospitality Proportion,National Other Proportion,National Public Administration Proportion,National Military Proportion,National Num Male Respondents,National Num Female Respondents,National Male Proportion,National Female Proportion,National Survey Size
jan00,29.41206313416009,0.0107102593010146,0.0028184892897406,0.0321307779030439,0.0321307779030439,0.0214205186020293,0.0135287485907553,0.0073280721533258,0.0045095828635851,0.0101465614430665,0.0659526493799323,0.0146561443066516,0.0016910935738444,0.0281848928974069,0.0095828635851183,863.0,911.0,0.4864712514092446,0.5135287485907554,1774.0,35.71275901780609,0.0131109518325534,0.002794533345145,0.0354430583630638,0.0440602072947789,0.028960063138736,0.02357233170386,0.006676277069525,0.0052105564101118,0.0196986413896964,0.0886841533047168,0.0329626080163645,0.0037528891609151,0.0350001208011532,0.0141578951607058,59858.0,64313.0,0.4820610287426211,0.517938971257379,124171.0
feb00,29.486887115165334,0.0114025085518814,0.0017103762827822,0.0319270239452679,0.0285062713797035,0.0262257696693272,0.016533637400228,0.0074116305587229,0.0068415051311288,0.0136830102622576,0.0604332953249714,0.0131128848346636,0.0022805017103762,0.0267958950969213,0.0125427594070695,863.0,891.0,0.492018244013683,0.507981755986317,1754.0,35.8017851897784,0.0130544042296269,0.0026190398485689,0.0349858033354002,0.0439199112300512,0.0297232466303319,0.0241506478248098,0.00682092620998,0.0054094187526516,0.0200058744819033,0.087847981462746,0.0332234587644006,0.0039734342873927,0.0349939623380438,0.0147433177768349,59139.0,63425.0,0.4825152573349434,0.5174847426650566,122564.0
mar00,29.85616827743036,0.0090960773166571,0.0011370096645821,0.0352472996020466,0.0295622512791358,0.023308698123934,0.0210346787947697,0.0056850483229107,0.0073905628197839,0.0170551449687322,0.0585559977259806,0.0142126208072768,0.0034110289937464,0.0272882319499715,0.0113700966458214,861.0,898.0,0.4894826606026151,0.5105173393973849,1759.0,35.88081918246778,0.013490766869647,0.0026238922718946,0.0346799346502302,0.0443916365496641,0.0294651550406785,0.0236727890819677,0.0068732775549944,0.0058088684258296,0.020058748782943,0.0871660313216825,0.0332442200108916,0.0041256167797085,0.035447299371256,0.0152647820849216,58608.0,62586.0,0.4835882964503193,0.5164117035496807,121194.0
apr00,29.64221724524076,0.009518477043673,0.0016797312430011,0.0375139977603583,0.0341545352743561,0.0173572228443449,0.019036954087346,0.0027995520716685,0.0067189249720044,0.0173572228443449,0.0655095184770436,0.0162374020156774,0.0033594624860022,0.028555431131019,0.0111982082866741,886.0,900.0,0.496080627099664,0.503919372900336,1786.0,35.74957609156422,0.0146411452049434,0.0027227964913424,0.0342387582743665,0.0446571232921381,0.0281899109792284,0.0230785534939837,0.0068885120813904,0.0059021097596765,0.020429125770372,0.0866892751165748,0.0331545309290116,0.0039945217986761,0.0359588482733883,0.0147715785697981,59318.0,63350.0,0.483565396028304,0.5164346039716959,122668.0
may00,29.22643553629469,0.0140845070422535,0.0016251354279523,0.0417118093174431,0.0325027085590465,0.018418201516793,0.0167930660888407,0.0032502708559046,0.0075839653304442,0.0130010834236186,0.0590465872156013,0.0151679306608884,0.0048754062838569,0.0249187432286023,0.0119176598049837,927.0,919.0,0.5021668472372698,0.4978331527627302,1846.0,35.725289523296524,0.0150739824857788,0.0027585306335642,0.0357956075704527,0.0438263594740836,0.0286054729900676,0.0232026703882346,0.0069289719168523,0.0061046772600772,0.0196851357637783,0.0871793616205143,0.0333390462665981,0.0037868586212243,0.0351590235780917,0.0144455598266532,59496.0,63033.0,0.4855666821731998,0.5144333178268002,122529.0
jun00,28.907651715039577,0.0131926121372031,0.0015831134564643,0.0385224274406332,0.0269129287598944,0.0195250659630606,0.0200527704485488,0.0036939313984168,0.0063324538258575,0.0147757255936675,0.0564643799472295,0.0147757255936675,0.0031662269129287,0.0242744063324538,0.0110817941952506,921.0,974.0,0.4860158311345646,0.5139841688654354,1895.0,35.83810240963855,0.015993321110529,0.0027419460450497,0.0371595075955997,0.0442149030906233,0.0286963069669984,0.0235643661602933,0.0073173127291775,0.0058685830277632,0.0192754714510214,0.0885034704033525,0.0333044133053954,0.0040269774751178,0.0353997511786275,0.0150929806181246,59353.0,62823.0,0.4857991749607124,0.5142008250392875,122176.0
jul00,28.99611973392461,0.011640798226164,0.0016629711751662,0.0376940133037694,0.024390243902439,0.0216186252771618,0.0182926829268292,0.0066518847006651,0.0083148558758314,0.0105321507760532,0.0587583148558758,0.0127494456762749,0.0027716186252771,0.0271618625277161,0.0110864745011086,872.0,932.0,0.483370288248337,0.516629711751663,1804.0,35.922522951600456,0.0161851894430849,0.0025948857757558,0.0388575933255596,0.0434807600716057,0.0290282317003071,0.0235346285864441,0.0077271756803363,0.0056824713823514,0.0193959500073904,0.0893839609781734,0.0323046855753912,0.0037527303782292,0.0359752993151472,0.0157992412422605,59072.0,62706.0,0.4850794067894036,0.5149205932105964,121778.0
aug00,29.72692095080155,0.011608623548922,0.0033167495854063,0.0453289110005527,0.0199004975124378,0.0187949143173023,0.0210060807075732,0.0055279159756771,0.007739082365948,0.007739082365948,0.0574903261470425,0.0099502487562189,0.0033167495854063,0.0248756218905472,0.0127142067440574,862.0,947.0,0.476506357103372,0.5234936428966279,1809.0,36.04051090393856,0.0159842293318,0.0026284446999876,0.0385970676413815,0.0430325680726107,0.0293482278532999,0.0239517023286377,0.0074007146084028,0.0057250811121606,0.0204197297630292,0.0898270976220789,0.0323791531479732,0.0034744753377962,0.0353115117663969,0.0158856626555505,58870.0,62875.0,0.4835516859008583,0.5164483140991416,121745.0
sep00,29.551339285714285,0.0089285714285714,0.0044642857142857,0.04296875,0.0184151785714285,0.0206473214285714,0.0184151785714285,0.0055803571428571,0.0078125,0.0089285714285714,0.0625,0.0128348214285714,0.0027901785714285,0.0295758928571428,0.0106026785714285,868.0,924.0,0.484375,0.515625,1792.0,36.10180999194464,0.0152476614772559,0.0025892255338736,0.0371697709973861,0.0426523533183185,0.0279636357658353,0.0241250061648226,0.0074882046392345,0.0056634171201236,0.0206809252165907,0.0868829012477601,0.0321639349652304,0.0034933995298295,0.0356244554406615,0.0150586069144651,58641.0,63017.0,0.4820151572440777,0.5179848427559224,121658.0
oct00,29.364501679731244,0.0106382978723404,0.0078387458006718,0.0447928331466965,0.0240761478163493,0.0139977603583426,0.0156774916013437,0.0027995520716685,0.0072788353863381,0.0072788353863381,0.0688689809630459,0.0117581187010078,0.0039193729003359,0.0319148936170212,0.0111982082866741,885.0,901.0,0.4955207166853303,0.5044792833146696,1786.0,35.97610307643255,0.0147730895950685,0.0028041891151679,0.0371166722532436,0.0426841730912301,0.0278865570607519,0.0232674117252712,0.0071535436611427,0.0055429744025769,0.0205531528732719,0.0878863935511825,0.032284964477546,0.0034173500004087,0.0365770906742317,0.0147812650735384,58934.0,63383.0,0.4818136481437576,0.5181863518562424,122317.0
